城市,时间,SO2,NO2,CO,O3,PM2.5,PM10,AQI,首要污染物,空气质量等级
绵阳,2023-01-01,5,30,0.8,41,58,74,79,PM2.5,良
绵阳,2023-01-02,5,28,0.8,15,56,68,77,PM2.5,良
绵阳,2023-01-03,4,28,0.8,41,38,55,54,PM2.5,良
绵阳,2023-01-04,4,24,0.7,62,29,44,44,—,优
绵阳,2023-01-05,4,21,0.6,69,26,38,38,—,优
绵阳,2023-01-06,6,31,0.8,70,38,62,56,PM10,良
绵阳,2023-01-07,4,26,0.7,76,58,82,79,PM2.5,良
绵阳,2023-01-08,5,49,1.2,66,136,178,180,PM2.5,中度污染
绵阳,2023-01-09,5,52,1.2,78,124,164,163,PM2.5,中度污染
绵阳,2023-01-10,5,52,1,44,85,125,113,PM2.5,轻度污染
绵阳,2023-01-11,6,46,0.8,83,65,106,88,PM2.5,良
绵阳,2023-01-12,7,41,0.7,63,64,101,87,PM2.5,良
绵阳,2023-01-13,6,33,0.7,47,66,109,89,PM2.5,良
绵阳,2023-01-14,6,39,0.7,58,51,100,75,PM10,良
绵阳,2023-01-15,4,22,0.4,76,22,62,56,PM10,良
绵阳,2023-01-16,4,22,0.6,61,53,97,74,PM10,良
绵阳,2023-01-17,3,30,0.7,40,65,110,88,PM2.5,良
绵阳,2023-01-18,6,40,0.8,23,—,—,97,PM10,良
绵阳,2023-01-19,4,35,0.6,51,—,—,90,PM10,良
绵阳,2023-01-20,3,30,0.6,69,—,—,82,PM10,良
绵阳,2023-01-21,4,30,0.7,33,48,68,67,PM2.5,良
绵阳,2023-01-22,6,39,0.8,56,59,93,80,PM2.5,良
绵阳,2023-01-23,7,38,0.7,60,55,83,75,PM2.5,良
绵阳,2023-01-24,10,38,0.8,47,60,90,82,PM2.5,良
绵阳,2023-01-25,8,35,0.7,46,52,81,72,PM2.5,良
绵阳,2023-01-26,4,35,0.6,24,47,83,67,PM10,良
绵阳,2023-01-27,4,33,0.6,28,45,83,67,PM10,良
绵阳,2023-01-28,7,29,0.6,29,50,81,69,PM2.5,良
绵阳,2023-01-29,4,20,0.6,18,34,48,49,—,优
绵阳,2023-01-30,5,16,0.4,36,28,47,47,—,优
绵阳,2023-01-31,4,13,0.4,43,25,70,60,PM10,良
绵阳,2023-02-01,5,8,0.4,49,18,52,51,PM10,良
绵阳,2023-02-02,4,10,0.4,57,22,—,61,PM10,良
绵阳,2023-02-03,6,26,0.7,63,—,—,64,PM10,良
绵阳,2023-02-04,10,34,0.9,42,62,90,84,PM2.5,良
绵阳,2023-02-05,5,32,0.8,33,65,94,88,PM2.5,良
绵阳,2023-02-06,5,31,0.8,28,51,80,70,PM2.5,良
绵阳,2023-02-07,5,29,0.8,19,36,61,56,PM10,良
绵阳,2023-02-08,5,35,0.6,60,37,72,61,PM10,良
绵阳,2023-02-09,5,39,0.7,77,38,85,68,PM10,良
绵阳,2023-02-10,6,34,0.7,52,38,68,59,PM10,良
绵阳,2023-02-11,5,28,0.6,46,47,66,65,PM2.5,良
绵阳,2023-02-12,7,30,0.6,65,33,60,55,PM10,良
绵阳,2023-02-13,7,35,0.6,42,32,54,52,PM10,良
绵阳,2023-02-14,6,34,0.6,20,43,67,60,PM2.5,良
绵阳,2023-02-15,7,34,0.6,62,41,68,59,PM10,良
绵阳,2023-02-16,5,29,0.4,25,17,34,37,—,优
绵阳,2023-02-17,6,24,0.4,69,19,38,38,—,优
绵阳,2023-02-18,5,28,0.4,50,20,47,47,—,优
绵阳,2023-02-19,6,27,0.4,72,18,37,37,—,优
绵阳,2023-02-20,4,24,0.6,60,41,59,58,PM2.5,良
绵阳,2023-02-21,5,30,0.7,42,46,70,64,PM2.5,良
绵阳,2023-02-22,4,22,0.6,63,40,55,57,PM2.5,良
绵阳,2023-02-23,6,22,0.6,62,38,60,55,PM10,良
绵阳,2023-02-24,5,32,0.6,36,36,61,56,PM10,良
绵阳,2023-02-25,5,25,0.6,47,47,66,65,PM2.5,良
绵阳,2023-02-26,5,24,0.6,46,38,56,54,PM2.5,良
绵阳,2023-02-27,4,23,0.5,45,22,38,38,—,优
绵阳,2023-02-28,5,23,0.6,58,24,43,43,—,优
绵阳,2023-03-01,5,26,0.7,73,38,57,54,"PM10,PM2.5",良
绵阳,2023-03-02,6,26,0.8,90,38,60,55,PM10,良
绵阳,2023-03-03,4,26,0.7,86,16,31,43,—,优
绵阳,2023-03-04,5,19,0.6,61,9,18,31,—,优
绵阳,2023-03-05,3,13,0.5,43,6,11,22,—,优
绵阳,2023-03-06,4,10,0.5,41,7,10,21,—,优
绵阳,2023-03-07,4,20,0.6,51,20,28,29,—,优
绵阳,2023-03-08,4,19,0.6,90,26,38,45,—,优
绵阳,2023-03-09,4,16,0.5,77,32,44,46,—,优
绵阳,2023-03-10,6,21,0.6,84,48,66,67,PM2.5,良
绵阳,2023-03-11,5,31,0.6,115,39,65,63,O3,良
绵阳,2023-03-12,6,42,0.6,132,37,67,77,O3,良
